States,x,y
Andhra Pradesh,-50,-125
Arunachal Pradesh,179,135
Assam,144,96
Bihar,50,79
Chhattisgarh,-19,-20
Goa,-149,-119
Gujarat,-198,34
Haryana,-111,147
Himachal Pradesh,-93,192
Jammu And Kashmir,-138,231
Jharkhand,40,41
Karnataka,-129,-154
Kerala,-102,-223
Madhya Pradesh,-89,31
Maharashtra,-135,-60
Manipur,196,68
Meghalaya,138,80
Mizoram,181,37
Nagaland,205,97
Odisha,34,-18
Punjab,-125,175
Rajasthan,-169,97
Sikkim,99,115
Tamil Nadu,-70,-203
Telangana,-52,-78
Tripura,156,46
Uttarakhand,-64,163
Uttar Pradesh,-49,112
West Bengal,84,35
Andaman And Nicobar Islands,195,-202
Dadra And Nagar Haveli,-163,-28
Daman And Diu,-202,-17
Delhi,-92,129
Lakshadweep,-173,-221
Puducherry,-45,-184
Chandigarh,-102,172
Ladakh,-97,249
